팀명,경기장,관중수,경기날짜,1팀score,2팀score,결과,이름,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,포지션,득점점유율,스타팅멤버
페퍼저축은행,페퍼스타디움,633,2021-10-19,1,3,0,하혜진,10,12,4,0,0,33.33,8.7,8,3,0,0,37.5,8.99,2,1,0,0,50.0,33.33,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,0,0,0.0,28.57,0,0,0,0,0.0,0.0,10,1,1,0.25,11.9,5,5,0,0,1.25,5.26,4,0,0,0.0,2.8,4,3,0,75.0,4.94,18,5,5,6,0,1.25,29.51,0,0,1,R,0.1724137931034483,1
페퍼저축은행,페퍼스타디움,633,2021-10-19,1,3,0,박경현,9,30,9,2,3,30.0,21.74,19,5,2,2,26.32,21.35,2,1,0,0,50.0,33.33,0,0,0,0,0.0,0.0,1,0,0,0,0.0,6.25,0,0,0,0,0.0,0.0,8,3,0,1,37.5,50.0,17,0,5,0.0,20.24,11,9,2,0,2.25,11.58,7,1,0,0.25,4.9,33,12,2,30.3,40.74,11,0,7,2,0,0.0,18.03,1,0,8,L,0.15517241379310345,1
페퍼저축은행,페퍼스타디움,633,2021-10-19,1,3,0,이한비,7,20,6,1,0,30.0,14.49,14,3,1,0,21.43,15.73,1,0,0,0,0.0,16.67,0,0,0,0,0.0,0.0,1,1,0,0,100.0,6.25,0,0,0,0,0.0,0.0,4,2,0,0,50.0,25.0,14,1,2,0.25,16.67,24,18,6,0,4.5,25.26,4,0,0,0.0,2.8,23,8,1,30.43,28.4,4,0,1,3,0,0.0,6.56,2,0,2,L,0.1206896551724138,1
페퍼저축은행,페퍼스타디움,633,2021-10-19,1,3,0,최가은,7,13,5,2,0,38.46,9.42,3,2,0,0,66.67,3.37,1,1,0,0,100.0,16.67,4,1,0,0,25.0,100.0,0,0,0,0,0.0,0.0,5,1,2,0,20.0,71.43,0,0,0,0,0.0,0.0,12,1,0,0.25,14.29,3,2,1,0,0.5,3.16,3,1,0,0.25,2.1,1,0,0,0.0,1.23,17,1,4,5,2,0.25,27.87,1,0,2,C,0.1206896551724138,1
페퍼저축은행,페퍼스타디움,633,2021-10-19,1,3,0,이현,1,4,0,0,1,0.0,2.9,4,0,0,1,0.0,4.49,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,17,1,1,0.25,20.24,10,8,2,0,2.0,10.53,87,30,0,7.5,60.84,0,0,0,0.0,0.0,4,0,2,1,0,0.0,6.56,1,0,2,S,0.017241379310344827,1
페퍼저축은행,페퍼스타디움,633,2021-10-19,1,3,0,구솔,1,1,0,0,0,0.0,0.72,1,0,0,0,0.0,1.12,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,0,0,0.0,1.19,0,0,0,0,0.0,0.0,23,6,0,1.5,16.08,0,0,0,0.0,0.0,3,1,1,1,0,0.25,4.92,0,0,0,S,0.017241379310344827,0
페퍼저축은행,페퍼스타디움,633,2021-10-19,1,3,0,이은지,1,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,1,1,0.25,7.14,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,2,1,0,50.0,2.47,0,0,0,0,0,0.0,0.0,0,0,1,R,0.017241379310344827,0
KGC인삼공사,페퍼스타디움,633,2021-10-19,1,3,1,이소영,21,45,18,2,3,40.0,30.2,17,3,1,2,17.65,26.56,7,4,1,1,57.14,70.0,0,0,0,0,0.0,0.0,1,0,0,0,0.0,5.26,0,0,0,0,0.0,0.0,20,11,0,0,55.0,48.78,11,0,1,0.0,12.22,17,15,2,0,3.75,15.89,4,1,0,0.25,2.65,17,8,2,35.29,23.61,11,3,3,1,0,0.75,16.18,0,0,4,L,0.328125,1
KGC인삼공사,페퍼스타디움,633,2021-10-19,1,3,1,옐레나,19,50,17,2,5,34.0,33.56,20,6,1,1,30.0,31.25,1,0,0,1,0.0,10.0,0,0,0,0,0.0,0.0,18,6,0,3,33.33,94.74,0,0,0,0,0.0,0.0,11,5,1,0,45.45,26.83,12,1,1,0.25,13.33,13,13,0,0,3.25,12.15,2,1,0,0.25,1.32,0,0,0,0.0,0.0,12,1,8,2,0,0.25,17.65,0,0,6,R,0.296875,1
KGC인삼공사,페퍼스타디움,633,2021-10-19,1,3,1,한송이,8,16,7,1,0,43.75,10.74,8,3,1,0,37.5,12.5,0,0,0,0,0.0,0.0,2,2,0,0,100.0,100.0,0,0,0,0,0.0,0.0,6,2,0,0,33.33,46.15,0,0,0,0,0.0,0.0,16,1,0,0.25,17.78,3,2,1,0,0.5,2.8,6,2,1,0.5,3.97,1,0,0,0.0,1.39,10,0,4,4,0,0.0,14.71,2,0,1,C,0.125,1
KGC인삼공사,페퍼스타디움,633,2021-10-19,1,3,1,정호영,7,10,5,0,1,50.0,6.71,5,3,0,1,60.0,7.81,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,5,2,0,0,40.0,38.46,0,0,0,0,0.0,0.0,11,0,0,0.0,12.22,6,6,0,0,2.0,5.61,2,0,0,0.0,1.32,1,0,0,0.0,1.39,10,2,5,3,0,0.67,14.71,1,0,1,C,0.109375,0
KGC인삼공사,페퍼스타디움,633,2021-10-19,1,3,1,박혜민,6,10,4,1,1,40.0,6.71,4,0,1,1,0.0,6.25,2,2,0,0,100.0,20.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,2,0,0,50.0,9.76,9,1,2,0.25,10.0,10,9,1,0,2.25,9.35,0,0,0,0.0,0.0,26,9,4,19.23,36.11,7,1,3,3,0,0.25,10.29,0,0,3,L,0.09375,1
KGC인삼공사,페퍼스타디움,633,2021-10-19,1,3,1,고의정,2,10,2,1,1,20.0,6.71,6,2,1,0,33.33,9.38,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,0,0,1,0.0,9.76,9,0,2,0.0,10.0,7,7,0,0,2.33,6.54,1,0,0,0.0,0.66,9,1,0,11.11,12.5,3,0,0,3,0,0.0,4.41,0,0,3,L,0.03125,0
KGC인삼공사,페퍼스타디움,633,2021-10-19,1,3,1,염혜선,1,3,1,0,0,33.33,2.01,3,1,0,0,33.33,4.69,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,13,0,2,0.0,14.44,18,16,2,0,4.0,16.82,124,49,0,12.25,82.12,0,0,0,0.0,0.0,11,0,7,3,1,0.0,16.18,1,0,3,S,0.015625,1
KGC인삼공사,페퍼스타디움,633,2021-10-19,1,3,1,노란,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,32,28,4,0,7.0,29.91,9,0,1,0.0,5.96,17,9,1,47.06,23.61,0,0,0,0,0,0.0,0.0,0,0,1,Li,0.0,0
